sensor_id,latitude,longitude
439_1_334,35.89165,-115.21922
439_2_333,35.89919,-115.2138
439_3_332,35.90623,-115.20924
438_1_331,35.9137,-115.20422
438_3_329,35.92719,-115.19405
356_1_309,36.0028,-115.17973
356_2_308,36.01294,-115.17981
355_1_156,36.02301,-115.17979
355_2_153,36.02666,-115.17976
355_3_155,36.03199,-115.17978
354_1_79,36.03808,-115.17982
354_2_144,36.04323,-115.17982
354_3_145,36.04807,-115.17981
34_1_94,36.05627,-115.17982
49_2_12,36.08427,-115.17979
49_3_15,36.08819,-115.17983
58_2_17,36.09194,-115.17981
59_1_18,36.09703,-115.17978
59_2_18,36.10223,-115.17977
72_2_28,36.11764,-115.17973
72_1_22,36.11786,-115.1797
89_1_28,36.12391,-115.17969
89_2_30,36.12748,-115.17968
97_1_33,36.13035,-115.17947
97_2_33,36.13359,-115.17822
97_3_38,36.13849,-115.17471
